PSID,year,DPROVI,DKABUP,y,CAPITAL,MATERIAL,va,l,k,m,i
37427,2015,32,73.0,17.68148,1453594.6,1171351.1,17.830313,4.7874918,10.488354,14.149261,14.188335
37431,2011,32,16.0,16.412664,0.0,6163022.0,15.343778,5.0106354,10.991646,15.67519,0.0
37431,2012,32,16.0,16.398434,0.0,4486496.5,15.664943,5.0106354,10.425757,15.357695,0.0
37431,2013,32,16.0,17.127043,0.0,9584391.0,16.277384,5.0106354,11.233793,16.116758,0.0
37431,2014,32,16.0,16.698486,0.0,8241365.5,16.03862,5.0106354,11.195691,15.965789,0.0
37431,2015,32,16.0,16.72891,0.0,11550107.0,15.943377,5.0106354,11.615771,16.303318,0.0
37433,2011,36,74.0,13.762053,2464.8521,423890.16,12.701676,3.7612002,9.2873011,13.015396,0.0
37433,2012,36,74.0,14.788997,2361.0178,882127.0,14.055505,3.4011974,9.4002171,13.748257,0.0
37433,2013,36,74.0,15.517605,2173.9131,1884465.1,14.667946,3.4011974,10.208248,14.50732,0.0
37433,2014,36,74.0,13.104297,0.0,157570.94,12.558884,3.2580965,9.392662,12.231377,0.0
37433,2015,36,74.0,14.976373,0.0,1602432.5,14.190839,3.2580965,10.83911,14.550778,0.0
37434,2011,36,74.0,17.39599,0.0,17048090.0,16.327105,5.9939613,10.83911,16.658516,0.0
37434,2012,36,74.0,17.38176,0.0,12410504.0,16.648268,5.9939613,10.83911,16.341021,0.0
37442,2011,36,74.0,19.578325,27214.678,76837408.0,18.808886,7.621685,12.765689,18.373388,0.0
37442,2012,36,74.0,18.765558,26068.232,40170036.0,18.032066,7.377759,11.48326,17.724819,0.0
37442,2013,36,74.0,18.909426,55811.039,62957784.0,18.002661,6.856462,12.720479,17.974535,10.300343
37442,2014,36,74.0,19.065611,52976.191,90092872.0,18.405743,7.377759,12.523897,18.332912,0.0
37442,2015,36,74.0,19.096035,53507.016,126263344.0,18.310501,7.377759,12.943974,18.670441,6.2744308
38344,2012,33,28.0,14.478841,1112.4026,685513.88,13.74535,3.0910425,3.5553482,13.438102,0.0
38392,2011,33,26.0,14.599317,2208.8867,922718.56,13.385301,3.7376697,9.0201483,13.996804,0.0
